anatomical_entity	quality	quality_label
XAO:0003211	PATO:0000574	decreased length
XAO:0003213	PATO:0000574	decreased length
XAO:0003214	PATO:0000574	decreased length
XAO:0004108	PATO:0000574	decreased length
XAO:0004108	PATO:0000574	decreased length
XAO:0004108	PATO:0000574	decreased length
XAO:0004108	PATO:0000574	decreased length
XAO:0004108	PATO:0000574	decreased length
XAO:0004108	PATO:0000574	decreased length
XAO:0004295	PATO:0000574	decreased length
XAO:0004295	PATO:0000574	decreased length
XAO:0004297	PATO:0000574	decreased length
XAO:0004297	PATO:0000574	decreased length
XAO:0001019	PATO:0000584	hypertrophic
XAO:0000033	PATO:0000586	increased size
XAO:0000033	PATO:0000586	increased size
XAO:0000033	PATO:0000586	increased size
XAO:0000033	PATO:0000586	increased size
XAO:0000033	PATO:0000586	increased size
XAO:0000033	PATO:0000586	increased size
XAO:0000033	PATO:0000586	increased size
XAO:0000033	PATO:0000586	increased size
XAO:0000033	PATO:0000586	increased size
XAO:0000033	PATO:0000586	increased size
XAO:0000033	PATO:0000586	increased size
XAO:0000033	PATO:0000586	increased size
XAO:0000033	PATO:0000586	increased size
XAO:0000033	PATO:0000586	increased size
XAO:0000033	PATO:0000586	increased size
XAO:0000064	PATO:0000586	increased size
XAO:0000064	PATO:0000586	increased size
XAO:0000064	PATO:0000586	increased size
XAO:0000064	PATO:0000586	increased size
XAO:0000090	PATO:0000586	increased size
XAO:0000090	PATO:0000586	increased size
XAO:0000104	PATO:0000586	increased size
XAO:0000104	PATO:0000586	increased size
XAO:0000104	PATO:0000586	increased size
XAO:0000133	PATO:0000586	increased size
XAO:0000136	PATO:0000586	increased size
XAO:0000136	PATO:0000586	increased size
XAO:0000136	PATO:0000586	increased size
XAO:0000136	PATO:0000586	increased size
XAO:0000136	PATO:0000586	increased size
XAO:0000136	PATO:0000586	increased size
XAO:0000136	PATO:0000586	increased size
XAO:0000136	PATO:0000586	increased size
XAO:0000179	PATO:0000586	increased size
XAO:0000232	PATO:0000586	increased size
XAO:0000232	PATO:0000586	increased size
XAO:0000232	PATO:0000586	increased size
XAO:0000232	PATO:0000586	increased size
XAO:0000232	PATO:0000586	increased size
XAO:0000295	PATO:0000586	increased size
XAO:0000295	PATO:0000586	increased size
XAO:0000314	PATO:0000586	increased size
XAO:0000314	PATO:0000586	increased size
XAO:0000315	PATO:0000586	increased size
XAO:0000315	PATO:0000586	increased size
XAO:0000315	PATO:0000586	increased size
XAO:0000315	PATO:0000586	increased size
XAO:0000336	PATO:0000586	increased size
XAO:0000467	PATO:0000586	increased size
XAO:0001019	PATO:0000586	increased size
XAO:0001103	PATO:0000586	increased size
XAO:0003004	PATO:0000586	increased size
XAO:0003024	PATO:0000586	increased size
XAO:0003024	PATO:0000586	increased size
XAO:0003024	PATO:0000586	increased size
XAO:0003024	PATO:0000586	increased size
XAO:0003024	PATO:0000586	increased size
XAO:0003024	PATO:0000586	increased size
XAO:0003024	PATO:0000586	increased size
XAO:0003024	PATO:0000586	increased size
XAO:0003024	PATO:0000586	increased size
XAO:0003024	PATO:0000586	increased size
XAO:0003024	PATO:0000586	increased size
XAO:0003024	PATO:0000586	increased size
XAO:0003024	PATO:0000586	increased size
XAO:0003024	PATO:0000586	increased size
XAO:0003024	PATO:0000586	increased size
XAO:0003024	PATO:0000586	increased size
XAO:0003024	PATO:0000586	increased size
XAO:0003024	PATO:0000586	increased size
XAO:0003024	PATO:0000586	increased size
XAO:0003024	PATO:0000586	increased size
XAO:0003024	PATO:0000586	increased size
XAO:0003031	PATO:0000586	increased size
XAO:0003065	PATO:0000586	increased size
XAO:0003066	PATO:0000586	increased size
XAO:0003066	PATO:0000586	increased size
XAO:0003066	PATO:0000586	increased size
XAO:0003066	PATO:0000586	increased size
XAO:0003066	PATO:0000586	increased size
XAO:0003143	PATO:0000586	increased size
XAO:0003191	PATO:0000586	increased size
XAO:0003192	PATO:0000586	increased size
XAO:0003193	PATO:0000586	increased size
XAO:0003204	PATO:0000586	increased size
XAO:0004105	PATO:0000586	increased size
XAO:0004140	PATO:0000586	increased size
XAO:0004185	PATO:0000586	increased size
XAO:0004231	PATO:0000586	increased size
XAO:0004392	PATO:0000586	increased size
XAO:0000002	PATO:0000587	decreased size
XAO:0000010	PATO:0000587	decreased size
XAO:0000015	PATO:0000587	decreased size
XAO:0000015	PATO:0000587	decreased size
XAO:0000020	PATO:0000587	decreased size
XAO:0000033	PATO:0000587	decreased size
XAO:0000033	PATO:0000587	decreased size
XAO:0000033	PATO:0000587	decreased size
XAO:0000033	PATO:0000587	decreased size
XAO:0000033	PATO:0000587	decreased size
XAO:0000054	PATO:0000587	decreased size
XAO:0000055	PATO:0000587	decreased size
XAO:0000064	PATO:0000587	decreased size
XAO:0000064	PATO:0000587	decreased size
XAO:0000064	PATO:0000587	decreased size
XAO:0000064	PATO:0000587	decreased size
XAO:0000072	PATO:0000587	decreased size
XAO:0000087	PATO:0000587	decreased size
XAO:0000092	PATO:0000587	decreased size
XAO:0000092	PATO:0000587	decreased size
XAO:0000096	PATO:0000587	decreased size
XAO:0000096	PATO:0000587	decreased size
XAO:0000097	PATO:0000587	decreased size
XAO:0000097	PATO:0000587	decreased size
XAO:0000099	PATO:0000587	decreased size
XAO:0000099	PATO:0000587	decreased size
XAO:0000104	PATO:0000587	decreased size
XAO:0000125	PATO:0000587	decreased size
XAO:0000128	PATO:0000587	decreased size
XAO:0000128	PATO:0000587	decreased size
XAO:0000128	PATO:0000587	decreased size
XAO:0000136	PATO:0000587	decreased size
XAO:0000136	PATO:0000587	decreased size
XAO:0000172	PATO:0000587	decreased size
XAO:0000172	PATO:0000587	decreased size
XAO:0000179	PATO:0000587	decreased size
XAO:0000179	PATO:0000587	decreased size
XAO:0000179	PATO:0000587	decreased size
XAO:0000179	PATO:0000587	decreased size
XAO:0000179	PATO:0000587	decreased size
XAO:0000179	PATO:0000587	decreased size
XAO:0000179	PATO:0000587	decreased size
XAO:0000179	PATO:0000587	decreased size
XAO:0000179	PATO:0000587	decreased size
XAO:0000179	PATO:0000587	decreased size
XAO:0000179	PATO:0000587	decreased size
XAO:0000179	PATO:0000587	decreased size
XAO:0000179	PATO:0000587	decreased size
XAO:0000179	PATO:0000587	decreased size
XAO:0000179	PATO:0000587	decreased size
XAO:0000179	PATO:0000587	decreased size
XAO:0000179	PATO:0000587	decreased size
XAO:0000179	PATO:0000587	decreased size
XAO:0000179	PATO:0000587	decreased size
XAO:0000179	PATO:0000587	decreased size
XAO:0000179	PATO:0000587	decreased size
XAO:0000179	PATO:0000587	decreased size
XAO:0000179	PATO:0000587	decreased size
XAO:0000179	PATO:0000587	decreased size
XAO:0000179	PATO:0000587	decreased size
XAO:0000179	PATO:0000587	decreased size
XAO:0000179	PATO:0000587	decreased size
XAO:0000179	PATO:0000587	decreased size
XAO:0000179	PATO:0000587	decreased size
XAO:0000179	PATO:0000587	decreased size
XAO:0000179	PATO:0000587	decreased size
XAO:0000179	PATO:0000587	decreased size
XAO:0000179	PATO:0000587	decreased size
XAO:0000179	PATO:0000587	decreased size
XAO:0000179	PATO:0000587	decreased size
XAO:0000179	PATO:0000587	decreased size
XAO:0000179	PATO:0000587	decreased size
XAO:0000179	PATO:0000587	decreased size
XAO:0000179	PATO:0000587	decreased size
XAO:0000179	PATO:0000587	decreased size
XAO:0000179	PATO:0000587	decreased size
XAO:0000179	PATO:0000587	decreased size
XAO:0000179	PATO:0000587	decreased size
XAO:0000179	PATO:0000587	decreased size
XAO:0000179	PATO:0000587	decreased size
XAO:0000179	PATO:0000587	decreased size
XAO:0000227	PATO:0000587	decreased size
XAO:0000232	PATO:0000587	decreased size
XAO:0000232	PATO:0000587	decreased size
XAO:0000232	PATO:0000587	decreased size
XAO:0000236	PATO:0000587	decreased size
XAO:0000236	PATO:0000587	decreased size
XAO:0000236	PATO:0000587	decreased size
XAO:0000314	PATO:0000587	decreased size
XAO:0000315	PATO:0000587	decreased size
XAO:0000330	PATO:0000587	decreased size
XAO:0003004	PATO:0000587	decreased size
XAO:0003004	PATO:0000587	decreased size
XAO:0003004	PATO:0000587	decreased size
XAO:0003004	PATO:0000587	decreased size
XAO:0003004	PATO:0000587	decreased size
XAO:0003004	PATO:0000587	decreased size
XAO:0003004	PATO:0000587	decreased size
XAO:0003004	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
